[NanoDet][01-08 16:33:33]INFO: Setting up data...
[NanoDet][01-08 16:33:33]INFO: Creating model...
[NanoDet][01-08 16:33:35]INFO: Weight Averaging is enabled
[NanoDet][01-08 16:34:27]INFO: Train|Epoch1/300|Iter180(181/387)| mem:0.694G| lr:3.60e-04| loss_qfl:0.2453| loss_bbox:0.9531| loss_dfl:0.3627| loss_pts:334.2067| aux_loss_qfl:0.3025| aux_loss_bbox:0.4706| aux_loss_dfl:0.2025| aux_loss_pts:334.2067| 
[NanoDet][01-08 16:34:30]INFO: Train|Epoch1/300|Iter190(191/387)| mem:0.694G| lr:3.80e-04| loss_qfl:0.5903| loss_bbox:1.0495| loss_dfl:0.4643| loss_pts:348.4794| aux_loss_qfl:0.3491| aux_loss_bbox:0.3580| aux_loss_dfl:0.2516| aux_loss_pts:348.4794| 
[NanoDet][01-08 16:34:33]INFO: Train|Epoch1/300|Iter200(201/387)| mem:0.694G| lr:4.00e-04| loss_qfl:0.9917| loss_bbox:1.3114| loss_dfl:0.8556| loss_pts:302.7377| aux_loss_qfl:0.4949| aux_loss_bbox:0.6880| aux_loss_dfl:0.3693| aux_loss_pts:302.7377| 
[NanoDet][01-08 16:34:35]INFO: Train|Epoch1/300|Iter210(211/387)| mem:0.694G| lr:4.20e-04| loss_qfl:0.4324| loss_bbox:0.9489| loss_dfl:0.4894| loss_pts:373.6358| aux_loss_qfl:0.2586| aux_loss_bbox:0.5139| aux_loss_dfl:0.2826| aux_loss_pts:373.6358| 
[NanoDet][01-08 16:34:38]INFO: Train|Epoch1/300|Iter220(221/387)| mem:0.694G| lr:4.40e-04| loss_qfl:0.4342| loss_bbox:0.9701| loss_dfl:0.3537| loss_pts:287.2520| aux_loss_qfl:0.1104| aux_loss_bbox:0.4574| aux_loss_dfl:0.2142| aux_loss_pts:287.2520| 
[NanoDet][01-08 16:34:42]INFO: Train|Epoch1/300|Iter230(231/387)| mem:0.694G| lr:4.60e-04| loss_qfl:0.3265| loss_bbox:1.2078| loss_dfl:0.7368| loss_pts:362.3151| aux_loss_qfl:0.1442| aux_loss_bbox:0.4858| aux_loss_dfl:0.3127| aux_loss_pts:362.3151| 
[NanoDet][01-08 16:34:45]INFO: Train|Epoch1/300|Iter240(241/387)| mem:0.694G| lr:4.80e-04| loss_qfl:0.6748| loss_bbox:1.7349| loss_dfl:0.7263| loss_pts:286.9268| aux_loss_qfl:0.2640| aux_loss_bbox:1.2952| aux_loss_dfl:0.3164| aux_loss_pts:286.9268| 
[NanoDet][01-08 16:34:49]INFO: Train|Epoch1/300|Iter250(251/387)| mem:0.694G| lr:5.00e-04| loss_qfl:0.6708| loss_bbox:0.9378| loss_dfl:0.5300| loss_pts:373.2954| aux_loss_qfl:0.3940| aux_loss_bbox:0.4560| aux_loss_dfl:0.2751| aux_loss_pts:373.2954| 
[NanoDet][01-08 16:34:52]INFO: Train|Epoch1/300|Iter260(261/387)| mem:0.694G| lr:5.20e-04| loss_qfl:0.3306| loss_bbox:1.1143| loss_dfl:0.5051| loss_pts:368.3517| aux_loss_qfl:0.1636| aux_loss_bbox:0.4743| aux_loss_dfl:0.2417| aux_loss_pts:368.3517| 
[NanoDet][01-08 16:34:55]INFO: Train|Epoch1/300|Iter270(271/387)| mem:0.694G| lr:5.40e-04| loss_qfl:0.5659| loss_bbox:0.9167| loss_dfl:0.3606| loss_pts:414.4748| aux_loss_qfl:0.3900| aux_loss_bbox:0.4783| aux_loss_dfl:0.2110| aux_loss_pts:414.4748| 
[NanoDet][01-08 16:34:58]INFO: Train|Epoch1/300|Iter280(281/387)| mem:0.694G| lr:5.60e-04| loss_qfl:0.4911| loss_bbox:1.2907| loss_dfl:0.7432| loss_pts:268.0936| aux_loss_qfl:0.1477| aux_loss_bbox:0.6819| aux_loss_dfl:0.3501| aux_loss_pts:268.0936| 
[NanoDet][01-08 16:35:00]INFO: Train|Epoch1/300|Iter290(291/387)| mem:0.694G| lr:5.80e-04| loss_qfl:0.2917| loss_bbox:1.9790| loss_dfl:0.8003| loss_pts:231.1719| aux_loss_qfl:0.0535| aux_loss_bbox:0.8880| aux_loss_dfl:0.1573| aux_loss_pts:231.1719| 
